ID,Title,Sku,Parent Product ID,Product Type,Brand,_seopress_analysis_target_kw,_seopress_titles_title,_wp_page_template,_rh_woo_product_layout
3143,Hero Maps Premium,3143,0,external,Hero Plugins,Hero Maps Premium Review,"Hero Maps Premium Plugin Features, reviews and Pricing | Appsfomo",default,global
3149,Hero Menu,3149,0,external,Hero Plugins,Hero Menu Review,"Hero Menu Plugin Features, reviews and Pricing | Appsfomo",default,global
3151,Ajax Translator Revolution,3151,0,external,Sur Studio,Ajax Translator Revolution Review,"Ajax Translator Revolution Plugin Features, reviews and Pricing | Appsfomo",default,global
3155,The Grid,3155,0,external,Theme-one,The Grid Review,"The Grid Plugin Features, reviews and Pricing | Appsfomo",default,global
3157,Instagram Feed,3157,0,external,Elfsight,Instagram Feed Review,"Instagram Feed Plugin Features, reviews and Pricing | Appsfomo",default,global
3161,Wordpress Automatic Plugin,3161,0,external,ValvePress,Wordpress Automatic Plugin Review,"Wordpress Automatic Plugin Plugin Features, reviews and Pricing | Appsfomo",default,global
3163,Scrapes,3163,0,external,Octolooks,Scrapes Review,"Scrapes Plugin Features, reviews and Pricing | Appsfomo",default,global
3165,Responsive flipbook,3165,0,external,MPC Themes,Responsive flipbook Review,"Responsive flipbook Plugin Features, reviews and Pricing | Appsfomo",default,global
3169,Go Pricing,3169,0,external, Granth ,Go Pricing Review,"Go Pricing Plugin Features, reviews and Pricing | Appsfomo",default,global
3171,Advanced Google Maps,3171,0,external,Weblizar,Advanced Google Maps Review,"Advanced Google Maps Plugin Features, reviews and Pricing | Appsfomo",default,global
3173,Smart Image Compressor,3173,0,external,Shall,Smart Image Compressor Review,"Smart Image Compressor Plugin Features, reviews and Pricing | Appsfomo",default,global
3177,WP Data Tables,3177,0,external,TMS-Plugins,WP Data Tables Review,"WP Data Tables Plugin Features, reviews and Pricing | Appsfomo",default,global
3179,WP Cost Estimation,3179,0,external,Loopus,WP Cost Estimation Review,"WP Cost Estimation Plugin Features, reviews and Pricing | Appsfomo",default,global
3181,WP Timeline,3181,0,external,Ex-themes,WP Timeline Review,"WP Timeline Plugin Features, reviews and Pricing | Appsfomo",default,global
3183,Content Egg,3183,0,external,WPsoul,Content Egg Review,"Content Egg Plugin Features, reviews and Pricing | Appsfomo",default,global
3185,White Label,3185,0,external,Acmee,White Label Review,"White Label Plugin Features, reviews and Pricing | Appsfomo",default,global
3187,Essential Grid,3187,0,external,Theme Punch,Essential Grid Review,"Essential Grid Plugin Features, reviews and Pricing | Appsfomo",default,global
3189,Master Slider,3189,0,external,Averta,Master Slider Review,"Master Slider Plugin Features, reviews and Pricing | Appsfomo",default,global
3191,Kraken,3191,0,external,Kraken,Kraken Review,"Kraken Plugin Features, reviews and Pricing | Appsfomo",default,global
3193,Mega Menu,3193,0,external,AccessKeys,Mega Menu Review,"Mega Menu Plugin Features, reviews and Pricing | Appsfomo",default,global
3197,Yellow Pencil,3197,0,external,Wasp Themes,Yellow Pencil Review,"Yellow Pencil Plugin Features, reviews and Pricing | Appsfomo",default,global
3203,Mini Go,3203,0,external,PremioThemes,Mini Go Review,"Mini Go Plugin Features, reviews and Pricing | Appsfomo",default,global
3205,Image map pro,3205,0,external,Nickys,Image map pro Review,"Image map pro Plugin Features, reviews and Pricing | Appsfomo",default,global
