Title,ID,Post Type,Product Type,Parent Product ID,Regular Price,Sale Price,Product categories,Brand
Imagely,8509,product,external,0,29,,Wordpress Themes>Creative,Imagely
Brizy,9234,product,external,0,49,,Wordpress Themes>Page Builder,Brizy
SEOPress,9530,product,external,0,39,,Wordpress Plugins>SEO Plugin,SEO Press
Elementor Pro,9862,product,external,0,49,,Wordpress Plugins>Page Builder,Elementor Ltd
LearnDash,9880,product,external,0,159,,Wordpress Plugins>LMS,LearnDash
Caldera Forms,9895,product,external,0,49,,Wordpress Plugins>Forms &amp; Popups,Caldera Labs
StackSocial,9904,product,external,0,,,Deals Platform,StackCommerce
AppSumo,9911,product,external,0,,,Deals Platform,Appsumo
Shortpixel,9936,product,external,0,4.99,,Wordpress Plugins,ShortPixel
Saastronaut Life,9944,product,external,0,,,FB Groups,
SaaS Master,9948,product,external,0,,,FB Groups,SaasMaster
WP Fluent Forms,10007,product,external,0,59,,Wordpress Plugins>Forms &amp; Popups,WpManageNinja
Ora,10059,product,external,0,6,4.33,SaaS>Project Management,
Glorify,10060,product,external,0,12.99,,SaaS>Design &amp; Collaboration,
Trello,10061,product,external,0,9.99,,SaaS>Project Management,
Crello,10062,product,external,0,9.99,,SaaS>Design &amp; Collaboration,
WP Security Ninja,10082,product,external,0,7.99,,Wordpress Plugins>Security Plugin,WP Security Ninja
All-in-One WP Migration,10114,product,external,0,69,,Wordpress Plugins>Security Plugin,ServMask
SpinRewriter,10216,product,external,0,47,,SaaS>Content creation,Infinect LLC
TexAu,10260,product,external,0,12.99,,SaaS>Business Tools,TexAu
Amelia,10281,product,external,0,59,,Wordpress Plugins>Calendar,TMS
Advanced Custom Fields,10284,product,external,0,49,,Wordpress Plugins>Miscellaneous,ACF
Analytify,10333,product,external,0,39,,Wordpress Plugins>Miscellaneous,WP Brigade
RelayThat,10402,product,external,0,25,,SaaS>Design &amp; Collaboration,RelayThat
Bridge,10638,product,external,0,59,,Wordpress Themes>Multipurpose,Qode Interactive
