ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score,Permalink,Date,"External Product URL","Button Text"
17798,"Backup Guard",,product,external,0,25,,"Uncategorized Reviews",,,https://appsfomo.com/reviews/backup-guard/,2021-09-06,https://backup-guard.com/,"Buy Now"
18134,Mailpoet,,product,external,0,18,,"Wordpress Plugins",,22,https://appsfomo.com/reviews/mailpoet/,2021-09-21,https://www.mailpoet.com/,"Buy Now"
18166,Hostinger,,product,external,0,1.39,,"Uncategorized Reviews",,,https://appsfomo.com/reviews/hostinger/,2021-09-20,https://www.hostinger.in/,"Buy Now"
18413,Weje,,product,external,0,10,,SaaS>Communication,Weje,88,https://appsfomo.com/reviews/weje/,2021-09-30,https://appsfomo.com/weje/,"Sign Up Today"
18590,Autoptimize,,product,external,0,0,,"Wordpress Plugins>Wordpress Optimization",,,https://appsfomo.com/reviews/autoptimize/,2021-10-11,https://wordpress.org/plugins/autoptimize/,"Buy Now"
19614,"WPvivid Backup",,product,external,0,69,,"Wordpress Plugins>Security Plugin",,23,https://appsfomo.com/reviews/wpvivid-backup/,2022-01-28,https://wpvivid.com/,"Buy Now"
20584,Quillbot,,product,external,0,4,,"SaaS>Content creation",Quillbot,93,https://appsfomo.com/reviews/quillbot/,2022-08-01,https://quillbot.com/,"Sign Up Today"
21191,Crove.app,,product,external,0,9,,"SaaS>Business Tools",Crove.app,27,https://appsfomo.com/reviews/crove-app/,2022-08-24,https://shop.appsfomo.com/p/3EQ3/r,"Sign Up Today"
21211,Chugzi,,product,external,0,97,,"SaaS>Content creation",Chugzi™,27,https://appsfomo.com/reviews/chugzi/,2022-08-24,https://shop.appsfomo.com/p/hZLz/r,"Sign Up Today"
21454,WPSmartPay,,product,external,0,99,,"Wordpress Plugins",WPSmartPay,,https://appsfomo.com/reviews/wpsmartpay/,2022-09-12,https://wpsmartpay.com/,"Buy Now"
21491,Usetiful,,product,external,0,29,,SaaS>Communication,Usetiful,27,https://appsfomo.com/reviews/usetiful/,2022-09-12,https://www.usetiful.com/,"Sign Up Today"
21673,RemasterMedia,,product,external,0,6.5,,"SaaS>Audio|SaaS>Video &amp; Media",RemasterMedia,27,https://appsfomo.com/reviews/remastermedia/,2022-10-18,https://www.remastermedia.com/,"Sign Up Today"
21689,Biteplay,,product,external,0,99,,"SaaS>Audio|SaaS>Video &amp; Media",Biteplay,27,https://appsfomo.com/reviews/biteplay/,2022-10-18,https://biteplay.com/,"Sign Up Today"
21763,GummySearch,,product,external,0,29,,"SaaS>Business Tools",GummySearch,27,https://appsfomo.com/reviews/gummysearch/,2022-09-26,https://gummysearch.com/,"Sign Up Today"
22024,ContentBot,,product,external,0,29,,"SaaS>Content creation",ContentBot,87,https://appsfomo.com/reviews/contentbot/,2022-10-18,https://contentbot.ai/,"Sign Up Today"
22130,TrueRanker,,product,external,0,6.99,,"SaaS>Marketing and Sales",TrueRanker,85,https://appsfomo.com/reviews/trueranker/,2022-10-18,https://trueranker.com/,"Sign Up Today"
22168,Trust,,product,external,0,19,,"Uncategorized Reviews",Trust,87,https://appsfomo.com/reviews/trust/,2022-10-18,https://usetrust.io/,"Buy Now"
