id,Title,"Affiliate Store",Expired,re_post_expired,rehub_offer_product_url
16853,wpDataTables,AppSumo,yes,1,https://appsumo.com/products/wpdatatables/
16862,"EWWW Image Optimizer",AppSumo,,0,shop.appsfomo.com/p/yJI9/r
16873,LongShot.Ai,Dealify,,0,https://www.dealify.com/longshot/?deal=stellar
16883,Adcrux,Dealify,,0,https://www.dealify.com/adcrux/?deal=stellar
16895,"Notic – Social Proof Application",DealFuel,,0,https://www.dealfuel.com/seller/notic-social-proof-application/?ap_id=interstellar
16938,Nexweave,AppSumo,yes,1,https://appsumo.com/products/nexweave/
16946,CourseMaker,"SaaS Mantra",,0,https://saasmantra.com/deals/coursemaker
16956,"AdLock Ad Blocker",Bitsdujour,,0,https://bitsdujour.stacksocial.com/sales/adlock-lifetime-subscription
16965,"Addons for Elementor",DealMirror,,0,https://dealmirror.com/product/exclusive-addons-lifetime-deal/?ref=interstellar.consulting
16974,Crello,AppSumo,yes,1,https://appsumo.com/products/crello/
16981,"Mockplus Cloud",Stacksocial,,0,https://stacksocial.com/sales/mockplus-cloud-pro-2-year-subscription-3-users?aid=a-j0gmt06o
16994,Plutio,AppSumo,yes,1,https://appsumo.com/products/plutio/
16997,Sendgomail,DealMirror,,0,https://dealmirror.com/product/sendgomail-lifetime-deal/?ref=interstellar.consulting
17024,Play.ht,AppSumo,yes,1,https://appsumo.com/products/playht/
17054,Qualzz,DigitalThink,,0,https://digitalthink.io/deal/qualzz/?ref=slogin
17062,CrowdPower,Dealify,,0,https://www.dealify.com/crowdpower/?deal=stellar
17063,Fastdok,"SaaS Mantra",,0,https://saasmantra.com/deals/fastdok
17072,"Natural Text to Speech",Stacksocial,,0,https://stacksocial.com/sales/naturaltts-online-text-to-speech-converter-lifetime-subscription
17087,Promoly,Dealify,,0,https://www.dealify.com/promoly/?deal=stellar
17103,"Venus Design System",Stacksocial,,0,https://stacksocial.com/sales/venus-design-system-freelancer-plan-lifetime-subscription/?aid=a-j0gmt06o
17114,"Action 4",Stacksocial,,0,https://stacksocial.com/sales/action-screen-recording-software-and-gameplay-recorder?aid=a-j0gmt06o
17121,Consolto,AppSumo,yes,1,https://appsumo.com/products/consolto/
17134,Trust,Dealify,,0,https://www.dealify.com/usetrust/?deal=stellar
17157,Genei,"SaaS Mantra",,0,https://saasmantra.com/deals/genei
17170,Pixlr,Stacksocial,,0,https://stacksocial.com/sales/pixlr-premium-1-year-subscription%20/?aid=a-j0gmt06o
17181,"Shells™ Personal Cloud Computer",Stacksocial,,0,https://stacksocial.com/sales/shells-basic-plan-1-year-subscription/?aid=a-j0gmt06o
17197,Botsify,AppSumo,yes,1,https://appsumo.com/products/botsify/
17210,Connected,AppSumo,yes,1,https://appsumo.com/products/connected/
17225,LeadScripts+,AppSumo,yes,1,https://appsumo.com/products/leadscripts-plus-exclusive/
17235,MarketingMaster,"SaaS Mantra",,0,https://saasmantra.com/deals/marketingmaster
17250,Uptics,"SaaS Mantra",,0,https://saasmantra.com/deals/uptics
17258,"Drawtify Infographic Creator",DealFuel,,0,https://www.dealfuel.com/seller/infographic-creator%20/?ap_id=interstellar
17268,FotoJet,DealMirror,,0,https://dealmirror.com/product/fotojet-bundle-deal%20/?ref=interstellar.consulting
17279,"LiveWebinar Pro",Stacksocial,,0,https://stacksocial.com/sales/lifetime-of-livewebinar-pro/?aid=a-j0gmt06o
17296,Autowriter,DealMirror,,0,https://dealmirror.com/product/autowriter-lifetime-deal/?ref=interstellar.consulting
17308,Pcloud,Stacksocial,,0,https://stacksocial.com/sales/pcloud-premium-plus-cloud-storage-1-yr-subscription/?aid=a-j0gmt06o
17332,"Blurweb App",DealMirror,,0,https://dealmirror.com/product/blurweb-app-lifetime-deal/?ref=interstellar.consulting
17339,Silentinbox,Dealify,,0,https://www.dealify.com/silentinbox%20/?deal=stellar
17349,ImageColorizer,DealMirror,,0,https://dealmirror.com/product/imagecolorizer-lifetime-deal/?ref=interstellar.consulting
17361,"Wondershare DemoCreator",Stacksocial,,0,https://stacksocial.com/sales/wondershare-democreator-for-mac/?aid=a-j0gmt06o
17373,"Nichesss AI Copywriter",Stacksocial,,0,https://stacksocial.com/sales/nichesss-lifetime-subscription/?aid=a-j0gmt06o
17376,Yizy,"SaaS Mantra",,0,https://saasmantra.com/deals/yizy
17435,"Intego Antivirus",Stacksocial,,0,https://stacksocial.com/sales/intego-antivirus-1-year-subscription?aid=a-j0gmt06o
17442,ProductLift,Dealify,,0,https://www.dealify.com/productlift/?deal=stellar
17443,"Peppertype AI",AppSumo,,0,shop.appsfomo.com/p/VPmF/r
17462,"Drawtify Lifetime Deal",DealMirror,,0,https://dealmirror.com/product/drawtify-lifetime-deal/?ref=interstellar.consulting
17473,Vidtoon,Stacksocial,,0,https://stacksocial.com/sales/vidtoon-2-0-animated-video-maker-lifetime-subscription/?aid=a-j0gmt06o
17485,CrawlQ,AppSumo,,0,https://appsumo.com/products/crawlq/
17498,Interviewer.AI,AppSumo,yes,1,https://appsumo.com/products/interviewerai/
17510,Reditus,AppSumo,yes,1,https://appsumo.com/products/marketplace-reditus/
17522,uchat,DigitalThink,,0,https://digitalthink.io/deal/uchat/?ref=slogin
17535,"hipCV Resume Builder",Stacksocial,,0,https://stacksocial.com/sales/hipcv-resume-builder-1-year-subscription/?aid=a-j0gmt06o
17550,ImgDownloader,DealMirror,,0,https://dealmirror.com/product/imgdownloader-lifetime-deal-pro-plan/?ref=interstellar.consulting
17556,BackgroundCut,Dealify,,0,https://www.dealify.com/backgroundcut/?deal=stellar
17566,"Gecata Game Recorder",Stacksocial,,0,https://stacksocial.com/sales/gecata-game-recorder/?aid=a-j0gmt06o
17585,Tapdesk,"SaaS Mantra",,0,https://saasmantra.com/deals/tapdesk
17650,"WordHero - AI Content Writer",AppSumo,,0,shop.appsfomo.com/p/ce2j/r
17664,Olvy,Pitchground,,0,https://pitchground.sjv.io/5bnVm9
17678,Linktube,Pitchground,,0,https://pitchground.sjv.io/e4N6JD
17691,"NeverSpam by Allegrow",Pitchground,,0,https://pitchground.sjv.io/a1e0Yb
17727,Intervue,Pitchground,,0,https://pitchground.sjv.io/Aojbkx
17737,Leadcamp,AppSumo,yes,1,https://appsumo.com/products/leadcamp/
