ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score
10333,Analytify,,product,external,0,39,,"Wordpress Plugins>Miscellaneous","WP Brigade",76
10402,RelayThat,,product,external,0,25,,"SaaS>Design &amp; Collaboration",RelayThat,76
10638,Bridge,,product,external,0,59,,"Wordpress Themes>Multipurpose","Qode Interactive",
10797,Shopify,,product,external,0,25,,eCommerce,Shopify,
10962,MarTech,,product,external,0,,,"FB Groups","MarTech Wise",
11028,Digitalthink,,product,external,0,,,"FB Groups","Digital think",
11031,Pitchground,,product,external,0,,,"FB Groups",,
11133,Magento,,product,external,0,,,eCommerce,,
11198,WordPress,,product,external,0,0.00,,"Content Management Systems",,
11413,"User Back",,product,external,0,8,,"SaaS>Business Tools",RelayThat,
11527,"7 Zip",,product,external,0,,,"Apps &amp; Utilities",,
11620,Drupal,,product,external,0,0.00,,"Content Management Systems",,80
11694,"WP Reset",,product,external,0,4.99,,"Wordpress Plugins",,84
11772,WebARX,,product,external,0,14.99,,Security,WebARX,89
13015,Grammarly,,product,external,0,11.66,,"SaaS>Content creation",,
13338,TortoiseGit,,product,external,0,,,"Apps &amp; Utilities",,
13461,ArticleForge,,product,external,0,57,,"SaaS>Content creation",,29
13549,Virusdie,,product,external,0,15,,Security,,
13634,"SaaS Mantra",,product,external,0,,,"FB Groups",,84
13698,Loginpress,,product,external,0,39,,"Wordpress Plugins>Forms &amp; Popups",Appsumo,68
14060,Sucuri,,product,external,0,9.99,,Security,,18
14377,Boei,,product,external,0,10,,"Wordpress Plugins>Forms &amp; Popups",Appsumo,17
14737,"All In One WordPress Security and Firewall Plugin",,product,external,0,0,,"Uncategorized Reviews",,76
14747,Kalium,,product,external,0,59,,"Wordpress Themes",Themeisle,25
14915,Meld,,product,external,0,0,,"Apps &amp; Utilities",,33
15511,Soledad,,product,external,0,59,,"Wordpress Themes",,23
15653,LiveWebinar,,product,external,0,11.99,,SaaS>Communication,RelayThat,17
15862,"Essential Addons for Elementor",,product,external,0,39.97,,"Wordpress Plugins>Page Builder","WP developer",
16794,Cartflows,,product,external,0,299,239,"Wordpress Plugins>E-commerce",,20
16916,"WP Engine",,product,external,0,25,,"Uncategorized Reviews",,
17751,Kinsta,,product,external,0,30,,Hosting,,
17798,"Backup Guard",,product,external,0,25,,"Uncategorized Reviews",,
18134,Mailpoet,,product,external,0,18,,"Wordpress Plugins",,22
18166,Hostinger,,product,external,0,1.39,,"Uncategorized Reviews",,
18413,Weje,,product,external,0,4,,SaaS>Communication,RelayThat,
18590,Autoptimize,,product,external,0,0,,"Wordpress Plugins>Wordpress Optimization",,
19614,"WPvivid Backup",,product,external,0,69,,"Wordpress Plugins>Security Plugin",,23
20584,Quillbot,,product,external,0,4,,"SaaS>Content creation",Quillbot,93
21191,Crove.app,,product,external,0,9,,"SaaS>Business Tools",Crove.app,22
21211,Chugzi,,product,external,0,97,,"SaaS>Content creation",Chugzi™,22
21454,WPSmartPay,,product,external,0,99,,"Wordpress Plugins",WPSmartPay,
21491,Usetiful,,product,external,0,29,,SaaS>Communication,Usetiful,
21673,RemasterMedia,,product,external,0,6.50,,"SaaS>Audio|SaaS>Video &amp; Media",RemasterMedia,
21689,Biteplay,,product,external,0,99,,"SaaS>Audio|SaaS>Video &amp; Media",Biteplay,
21763,GummySearch,,product,external,0,15.75,,"SaaS>Business Tools",GummySearch,
22024,ContentBot,,product,external,0,29,,"SaaS>Content creation",ContentBot,87
22130,TrueRanker,,product,external,0,6.99,,"SaaS>Marketing and Sales",TrueRanker,93
22168,Trust,,product,external,0,19,,"Uncategorized Reviews",Trust,87
22217,NeuronWriter,,product,external,0,19,,"SaaS>Content creation",NeuronWriter,93
22248,Vepaar,,product,external,0,5,,"SaaS>Business Tools",Vepaar,85
22264,Scalenut,,product,external,0,29,,"SaaS>Content creation",Scalenut,91
22281,Prelo,,product,external,0,23,,"SaaS>Business Tools",Prelo,87
22320,"Xpro Addons for Elementor",,product,external,0,37,,"Uncategorized Reviews","Xpro Elementor Addons",91
22336,SheerSEO,,product,external,0,10,,"SaaS>Marketing and Sales",SheerSEO,87
22376,Wordplay ,,product,external,0,59,,"SaaS>Content creation",Wordplay,87
